,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE,address
0,LEARNING STUDIO EDUCARE @ CHANGKAT PRIMARY SCHOOL,11,SIMEI STREET 3,LEARNING STUDIO EDUCARE @ CHANGKAT PRIMARY SCHOOL,11 SIMEI STREET 3 LEARNING STUDIO EDUCARE @ CHANGKAT PRIMARY SCHOOL SINGAPORE 529896,529896,41238.4638929376,35793.2822557092,1.33997334692002,103.952273949753,103.952273949753,Changkat Primary School
1,CHANGKAT PRIMARY SCHOOL,11,SIMEI STREET 3,CHANGKAT PRIMARY SCHOOL,11 SIMEI STREET 3 CHANGKAT PRIMARY SCHOOL SINGAPORE 529896,529896,41228.3855623985,35819.2294544838,1.34020800809176,103.952183401477,103.952183401477,Changkat Primary School
0,PUNGGOL COVE PRIMARY SCHOOL,52,SUMANG WALK,PUNGGOL COVE PRIMARY SCHOOL,52 SUMANG WALK PUNGGOL COVE PRIMARY SCHOOL SINGAPORE 828674,828674,35306.1220845785,43709.1463599969,1.41156356476303,103.898970364961,103.898970364961,Punggol Cove Primary School
1,KNOWLEDGE PARK EDUCARE PTE LTD (PUNGGOL COVE PRIMARY SCHOOL),52,SUMANG WALK,KNOWLEDGE PARK EDUCARE PTE LTD (PUNGGOL COVE PRIMARY SCHOOL),52 SUMANG WALK KNOWLEDGE PARK EDUCARE PTE LTD (PUNGGOL COVE PRIMARY SCHOOL) SINGAPORE 828674,828674,35287.6778952163,43713.0547133945,1.41159891518084,103.898804629129,103.898804629129,Punggol Cove Primary School
0,WOODGROVE PRIMARY SCHOOL,2,WOODLANDS DRIVE 14,WOODGROVE PRIMARY SCHOOL,2 WOODLANDS DRIVE 14 WOODGROVE PRIMARY SCHOOL SINGAPORE 738079,738079,23222.6544896485,46085.8410775028,1.43305806041,103.790389620371,103.790389620371,Woodgrove Primary School
1,COMMIT LEARNING SCHOOLHOUSE @ WOODGROVE PRIMARY SCHOOL,2,WOODLANDS DRIVE 14,COMMIT LEARNING SCHOOLHOUSE @ WOODGROVE PRIMARY SCHOOL,2 WOODLANDS DRIVE 14 COMMIT LEARNING SCHOOLHOUSE @ WOODGROVE PRIMARY SCHOOL SINGAPORE 738079,738079,23204.9254116695,46050.2524968032,1.43273620725049,103.79023031392,103.79023031392,Woodgrove Primary School
0,FENGSHAN PRIMARY SCHOOL,307,BEDOK NORTH ROAD,FENGSHAN PRIMARY SCHOOL,307 BEDOK NORTH ROAD FENGSHAN PRIMARY SCHOOL SINGAPORE 469680,469680,38969.4734369004,34726.310162425,1.33032495471393,103.931885376418,103.931885376418,Fengshan Primary School
0,ENDEAVOUR PRIMARY SCHOOL,10,ADMIRALTY LINK,ENDEAVOUR PRIMARY SCHOOL,10 ADMIRALTY LINK ENDEAVOUR PRIMARY SCHOOL SINGAPORE 757521,757521,26231.5590347629,48420.9503094982,1.45417628963848,103.817427319321,103.817427319321,Endeavour Primary School
0,NANYANG PRIMARY SCHOOL,51,CORONATION ROAD,NANYANG PRIMARY SCHOOL,51 CORONATION ROAD NANYANG PRIMARY SCHOOL SINGAPORE 269460,269460,25011.8029676573,33707.7719583772,1.32111548993736,103.806468059795,103.806468059795,Nanyang Primary School
1,NANYANG PRIMARY SCHOOL,52,KING'S ROAD,NANYANG PRIMARY SCHOOL,52 KING'S ROAD NANYANG PRIMARY SCHOOL SINGAPORE 268097,268097,25159.4446834568,33722.2334864419,1.32124628894992,103.807794696706,103.807794696706,Nanyang Primary School
