flat,school,school_dist,num_school_2km,hawker,hawker_dist,num_hawker_2km,mrt,mrt_dist,num_mrt_2km,supermarket_dist,num_supermarket_2km,dist_central
456 CLEMENTI AVE 3,Pei Tong Primary School,0.4712328342750504,7,Blk 448 Clementi Ave 3,0.30144863601301375,3,CLEMENTI MRT STATION,0.38271035813647214,2,0.1787454924917096,14,9.888901258230657
189 PASIR RIS ST 12,White Sands Primary School,0.2094546999959048,18,Market Street Food Centre,2.716682913171152,0,TAMPINES EAST MRT STATION,1.1505000892378663,2,0.3799187812084303,13,14.984472198727858
173 ANG MO KIO AVE 4,Mayflower Primary School,0.10022811491088368,8,Sembawang Hill Food Centre,0.8695452519472477,2,YIO CHU KANG MRT STATION,1.2018804584201581,2,0.38897179009093746,9,10.223927695918196
423 PASIR RIS DR 6,Casuarina Primary School,0.40231205023349614,14,Market Street Food Centre,2.9249478905277666,0,PASIR RIS MRT STATION,0.6918430882829872,2,0.45370295557136175,13,14.926506810862817
429 PASIR RIS DR 6,Casuarina Primary School,0.3066561793693776,14,Market Street Food Centre,3.00638289613933,0,PASIR RIS MRT STATION,0.8941311904267396,2,0.24847534654234285,13,15.08749189471762
757 CHOA CHU KANG NTH 5,Kranji Primary School,0.20421475789178828,13,Market Street Food Centre,5.5281669966372,0,YEW TEE MRT STATION,0.5450529055151954,6,0.3247125013564839,10,16.806069251065246
187 PASIR RIS ST 11,White Sands Primary School,0.20009535838283737,19,Market Street Food Centre,2.6629427756642596,0,TAMPINES EAST MRT STATION,1.0843044304716543,2,0.4715854147257407,13,14.95402367921339
165 STIRLING RD,Queenstown Primary School,0.881730697476768,5,Alexandra Village Food Centre,0.5708620109630256,5,QUEENSTOWN MRT STATION,0.6331725972207312,6,0.13353556342943682,15,5.560051385393304
245 KIM KEAT LINK,Pei Chun Public School,0.6459650599122213,11,Blk 75 Toa Payoh Lorong 5,0.6758600611874505,6,TOA PAYOH MRT STATION,1.0282265532556614,6,0.13326076791832234,18,5.223527636396353
217 BISHAN ST 23,Catholic High School (Primary),0.6261908174106735,13,Blk 409 Ang Mo Kio Ave 10,0.9467320440292276,6,BISHAN MRT STATION,0.6009015030986461,6,0.6193171607959016,17,8.032813889082156
82B LOR 4 TOA PAYOH,Kheng Cheng School,0.2317159070653617,13,Blk 93 Toa Payoh Lorong 4,0.3169908641871186,5,TOA PAYOH MRT STATION,0.3636619504971709,7,0.3238994372572309,19,5.701579110646218
211D PUNGGOL WALK,Punggol Green Primary School,0.09828614791451105,25,Kovan Market & Food Centre,4.851759585234647,0,PUNGGOL MRT STATION,0.5101733032259974,26,0.27497868150504373,20,13.96718552367088
545 JURONG WEST ST 42,Rulang Primary School,0.7335239518239121,10,Blk 505 Jurong West Street 52,0.46115175039641054,1,LAKESIDE MRT STATION,1.0935380126030043,2,0.058224356215068336,10,16.92754440094311
71 C'WEALTH DR,New Town Primary School,0.33237158330843547,4,Tanglin Halt Market,0.11422436870641359,7,COMMONWEALTH MRT STATION,0.3231824826067078,7,0.2601473250116312,17,6.30519637812793
656D JURONG WEST ST 61,Frontier Primary School,0.1251132695937822,14,Taman Jurong Market & Food Centre,2.416397934152714,0,PIONEER MRT STATION,0.35727227944591766,2,0.39682143223300675,8,17.804306053127988
299 PUNGGOL CTRL,Punggol View Primary School,0.2906290726067618,25,Kovan Market & Food Centre,5.276324391328776,0,COVE LRT STATION,0.385106005842084,23,0.1451915683870695,16,14.417637871034474
846 TAMPINES ST 82,Junyuan Primary School,0.5994456407403675,16,Market Street Food Centre,1.1942838418759685,1,TAMPINES WEST MRT STATION,0.7847681484014403,4,0.3432959747535309,11,12.041381643414667
251 BANGKIT RD,Beacon Primary School,0.43775758768707684,9,Bukit Timah Market,4.504409130160657,0,BANGKIT LRT STATION,0.17073731357979094,12,0.19532927910361852,8,13.675905302782972
769 YISHUN AVE 3,Jiemin Primary School,0.454386943061976,14,Chong Pang Market & Food Centre,0.9337709019421697,2,YISHUN MRT STATION,0.5708538016854177,2,0.08815314043318413,16,15.66495264424791
408 PANDAN GDNS,Qifa Primary School,1.038345833052389,4,Blk 448 Clementi Ave 3,1.8380324798338206,1,JURONG EAST MRT STATION,1.804527443742265,3,0.7326824021201959,12,12.02652451720565
99A LOR 2 TOA PAYOH,Kheng Cheng School,0.16821485374559333,13,Blk 93 Toa Payoh Lorong 4,0.2935120863117542,6,BRADDELL MRT STATION,0.1866733006661023,7,0.6438311820799879,16,6.065366331913428
784 CHOA CHU KANG DR,Kranji Primary School,0.08963244784876039,12,Market Street Food Centre,5.7566643798790835,0,YEW TEE MRT STATION,0.31319744673658106,5,0.2976318523934272,10,16.849602928792585
580 PASIR RIS ST 53,Elias Park Primary School,0.1773221250872247,15,Market Street Food Centre,3.191402134571648,0,PASIR RIS MRT STATION,0.3145690055604668,1,0.3986381883015953,9,14.587828196367052
112 BISHAN ST 12,Guangyang Primary School,0.08910850359881622,14,Blk 93 Toa Payoh Lorong 4,0.929363759280872,7,BISHAN MRT STATION,0.4566239406094275,7,0.11371248706615578,13,6.936539932342723
206 SERANGOON CTRL,Yangzheng Primary School,0.7491687878552798,10,Serangoon Garden Market,1.3017964505861095,4,SERANGOON MRT STATION,0.33862948143631544,6,0.21529968734055233,11,8.048184153141083
243 HOUGANG ST 22,Xinghua Primary School,0.16999871659358332,7,Kovan Market & Food Centre,0.6480185287237342,2,KOVAN MRT STATION,0.7917199712796589,2,0.45009854981795927,11,9.282297576697694
313B SUMANG LINK,Punggol Cove Primary School,0.3822805072673462,20,Kovan Market & Food Centre,5.931481224115692,0,NIBONG LRT STATION,0.2737005180992368,16,0.2073465385676191,15,15.043542389161267
768 PASIR RIS ST 71,Meridian Primary School,0.07836330356272996,5,Market Street Food Centre,3.423535187671155,0,PASIR RIS MRT STATION,1.5491913425219233,1,0.492207363716461,5,13.76058994655876
646 WOODLANDS RING RD,Woodlands Ring Primary School,0.4238571872011124,17,Blks 20/21 Marsiling Lane,2.671113746132048,0,ADMIRALTY MRT STATION,0.33592236734444675,4,0.28089286912880645,14,17.896414954002385
134 LOR AH SOO,Xinghua Primary School,0.9294134175892498,4,Kovan Market & Food Centre,0.9558430315786747,2,KOVAN MRT STATION,1.0863817696799958,5,0.5862847896877533,13,8.309227428559714
38C BENDEMEER RD,Bendemeer Primary School,0.20000599589883955,7,North Bridge Road Market & Food Centre,1.6831420984399852,5,GEYLANG BAHRU MRT STATION,0.5695699831561594,9,0.4012394860240953,27,4.43304450020548
57 CHAI CHEE DR,Opera Estate Primary School,0.7619406260818233,10,Blk 538 Bedok North Street 3,0.8385159417452596,7,KEMBANGAN MRT STATION,0.9836236749872951,5,0.46962568868604815,21,8.950847430044647
662C JURONG WEST ST 64,Frontier Primary School,0.4910828382572323,17,Taman Jurong Market & Food Centre,1.9740340745353935,2,BOON LAY MRT STATION,0.26300352059890064,2,0.25139476034465613,9,17.435226740117873
130 BEDOK RESERVOIR RD,Telok Kurau Primary School,0.2998780133811659,8,Blk 538 Bedok North Street 3,1.429835972647071,2,KAKI BUKIT MRT STATION,0.4657480897411398,5,0.2527969267075201,13,8.698611472111146
769 PASIR RIS ST 71,Meridian Primary School,0.09560451569588323,5,Market Street Food Centre,3.4080918777175198,0,PASIR RIS MRT STATION,1.5852479467734493,1,0.46970818556053917,5,13.711113080227006
540 CHOA CHU KANG ST 52,De La Salle School,0.2464753841213826,11,Market Street Food Centre,5.497904891783486,0,YEW TEE MRT STATION,0.6540339996207045,5,0.1188374229839999,9,16.97237013030334
652 PUNGGOL CTRL,Greendale Primary School,0.35817082200287803,17,Kovan Market & Food Centre,5.3318194205005875,0,RIVIERA LRT STATION,0.2722796490344701,13,0.2779164792686369,10,14.382446566416185
3 TIONG BAHRU RD,Zhangde Primary School,0.7103577040600181,7,Tiong Bahru Market,0.12065989802517499,21,TIONG BAHRU MRT STATION,0.5885740921251845,12,0.28173692827486774,27,2.1409585114862066
185 BT BATOK WEST AVE 6,Princess Elizabeth Primary School,0.5028936771158378,11,Market Street Food Centre,0.8834759236857282,1,BUKIT BATOK MRT STATION,0.5588213249280933,5,0.14711973658031466,19,13.73932235226903
